SiteNum,SiteName,Long_planned,Lat_planned,SiteName,Organiz,Benthic,BenthicPair,Date,Time,Team_DS,Team,LatGPS,LongGPS,SpCond,SalFINAL,TempFinal,ODOPerFinal,ODO,Turb_Final,pH,pH_insitu_Silbiger,TSS,Ammonia,NNN,TotalN,TotalP,Silica,Chla,Salinity_Silbiger,Depth_FINAL,Photos x 5_DS,# of usable photos,Comments photo quadrants,Notes_DS,Comments,Enterococcus,FCM,DNA,FDOM,Pharm,PPL,TA,DOH,DNAex,runDNA,TA_Raw_Silbiger,fDOM_M:C,fDOM_BIX,fDOM_HIX,fDOM_FI,FCM_Concentration (cells/uL),IBU_ngmL,SMX_ngmL,GLY_ngmL,CBZ_ngmL,EnteroCFU100ml,Sample Name,SiteNum_DNA,SiteNumDOH,clusterfit,dist2coast,otpN,gw_wells,streams,DistanceHK_m
101,101,-157.758197,21.25046169,MBGT1-101,HDOHOff,0,0,20190815,9:39:00 AM,Boat,4,21.25047,-157.75838,53408,34.8,27.2,101.9,6.64,0.12,8.2,8.015034,9.6,11,1,68,9,500,0.09,35.14,27.11,,,,Lat a little off,,,1,1,1,0,0,1,1,,0,2264.802,1.271517,0.76159,0.578816,1.533584,306140,,,,,,101,101,101,11,2550.08,0,2806.31,2742.35,4079.43
102,102,-157.7714437,21.25900007,MBGT1-102,HDOHOff,0,0,20190814,10:31:00 AM,Boat,4,21.25901,-157.77151,53308,34.83,27.2,101.1,6.6,0.25,8.18,8.035337,34,13,1,72,9,500,0.11,35.12,16.02,0,,,,"YSI data not on DS, perhaps only logged due to time constraints?",,1,1,1,0,0,1,1,,0,2264.258,1.229686,0.821752,0.725718,1.571775,386340,,,,,,102,102,102,11,1108.87,117.56,1980.03,1162.76,4841.75
103,103,-157.7270412,21.26972631,MBGT1-103,HDOHOff,0,0,20190813,8:02:00 AM,Boat,4,21.26974,-157.72716,53391,34.77,27.2,100.5,6.56,0.4,8.16,8.029856,20.2,21,1,75,27,500,0.108,34.18,13.28,0,,,,,,1,1,1,0,0,1,1,,0,2266.32,1.346425,0.803472,0.56456,1.635521,383340,,,,,,103,103,103,2,1250,97.97,1600,1619.29,1391.61
104,104,-157.7156178,21.27239943,MBGT1-104,HDOHOff,0,1,20190813,7:28:00 AM,Boat,4,21.27264,-157.71521,53574,34.81,26.8,90.7,5.94,1.26,8.08,7.971843,2,20,1,52,8,500,0.139,35.31,3.23,0,,,,,,1,1,1,0,1,1,1,10/15/2019,3,2262.575,1.179701,0.84059,1.355171,1.734027,240245,,,,,,104,104,104,1,821.34,979.69,1774.96,667.08,461.8
105,105,-157.7809612,21.24717111,MBGT1-105,HDOHOff,0,0,20190814,9:58:00 AM,Boat,4,21.24716,-157.78094,53478,34.82,27,102.1,6.68,0.19,8.19,8.038535,20,14,1,87,11,500,0.15,35.25,20.71,0,,,,,,1,1,0,0,0,1,1,,0,2266.557,,,,,396540,,,,,,,105,105,11,1394.45,1201.64,1637.83,2210,5787.09
106,106,-157.7719275,21.25297455,MBGT1-106,HDOHOff,0,0,20190814,10:22:00 AM,Boat,4,21.25293,-157.77197,53436,34.31,26.9,102.1,6.69,0.22,8.18,7.971828,18,8,1,68,14,500,0.25,35.22,19.27,0,,,,"YSI data not on DS, perhaps only logged due to time constraints?",,1,1,1,0,0,1,1,,0,2290.244,1.442456,0.847321,0.716442,1.553797,383531,,,,,,106,106,106,11,1578.01,0,2049.2,1704.88,5009.58
107,107,-157.7268246,21.25977425,MBGT1-107,HDOHOff,0,0,20190814,7:03:00 AM,Boat,4,21.25968,-157.72675,53463,34.25,27.1,102.5,6.66,0.1,8.16,8.015954,26,16,1,79,7,500,0.11,34.89,13.28,0,,,,,,1,1,1,0,0,1,1,,0,2279.754,1.732096,0.827123,1.018193,1.636799,328796,,,,,,107,107,107,2,1589.78,0,2720.66,2252.91,1584.24
108,108,-157.794923,21.25534856,MBGT1-108,HDOHOff,0,0,20190814,7:55:00 AM,Boat,4,21.25395,-157.79425,53180,34.19,27.3,95.3,6.24,1.15,8.15,8.000942,62,8,1,90,11,500,0.2,35.08,2.47,,,,,,,1,1,1,0,0,1,1,,0,2269.175,1.984238,1.876579,0.23939,1.598305,450400,,,,,,108,108,108,1,165.53,4155.39,588.3,2166.01,6601.06
109,109,-157.7574542,21.2652304,MBGT1-109,HDOHOff,0,0,20190814,7:07:00 AM,Boat,4,21.26518,-157.75748,53324,34.31,27.1,101.1,6.6,0.12,8.18,8.043137,15,12,1,77,10,500,0.17,35.13,12.26,,,,,,,1,1,1,0,0,1,1,,0,2283.147,2.027541,1.536107,0.323638,1.525787,322633,,,,,,109,109,109,2,920,19.59,1257.18,1223.76,3688.91
110,110,-157.7404273,21.26519922,MBGT1-110,HDOHOff,0,0,20190814,7:34:00 AM,Boat,4,21.26518,-157.74037,53400,34.21,27.2,102.1,6.65,0.1,8.19,8.041409,24,17,1,64,8,500,0.11,35.12,13.48,0,,,,,,1,1,1,0,0,1,1,,0,2284.894,1.131805,0.777165,0.964059,1.780797,334510,,,,,,110,110,110,2,1562.37,0,1603.31,1644.54,2449.4
