Full Name,Site Number,Quadrad number ,Copy,Team Color,Picture Number,,Annotation status,Annotation area,Coral,Sand,Silt,Pav,Rock,Unk,ASPIC,CA_O,CCA,GFA,GSAL,Hal,Turbin,Turf,UnkMacroa
111_1_1_Red_Copy of P8140245.JPG,111,1,1,Red,Copy of P8140245.JPG,,Confirmed,X: 886 - 2595 pixels / Y: 881 - 2700 pixels,0,33.333,3.333,0,20,16.667,0,0,0,0,0,13.333,0,0,13.333
111_2_1_Red_Copy of P8140246.JPG,111,2,1,Red,Copy of P8140246.JPG,,Confirmed,X: 1071 - 3035 pixels / Y: 656 - 2700 pixels,0,0,0,0,70,0,0,0,10,0,0,0,0,13.333,6.667
111_3_1_Red_Copy of P8140247.JPG,111,3,1,Red,Copy of P8140247.JPG,,Confirmed,X: 896 - 2660 pixels / Y: 761 - 2520 pixels,0,36.667,0,0,26.667,0,0,0,6.667,0,0,6.667,0,6.667,16.667
111_4_1_Red_Copy of P8140248.JPG,111,4,1,Red,Copy of P8140248.JPG,,Confirmed,X: 1131 - 2880 pixels / Y: 681 - 2415 pixels,0,43.333,0,0,23.333,0,0,0,3.333,16.667,0,0,0,6.667,6.667
111_5_1_Red_Copy of P8140249.JPG,111,5,1,Red,Copy of P8140249.JPG,,Confirmed,X: 1286 - 2910 pixels / Y: 881 - 2580 pixels,0,73.333,0,0,3.333,0,0,0,0,13.333,0,3.333,0,3.333,3.333
126_1_1_Green_Copy of P8140180.JPG,126,1,1,Green,Copy of P8140180.JPG,,Confirmed,X: 876 - 3435 pixels / Y: 416 - 2845 pixels,0,0,80,0,0,0,0,0,3.333,0,0,16.667,0,0,0
126_2_1_Green_Copy of P8140181.JPG,126,2,1,Green,Copy of P8140181.JPG,,Confirmed,X: 936 - 3360 pixels / Y: 196 - 2465 pixels,0,0,70,0,0,0,0,0,0,0,0,3.333,0,26.667,0
126_3_1_Green_Copy of P8140182.JPG,126,3,1,Green,Copy of P8140182.JPG,,Confirmed,X: 906 - 3050 pixels / Y: 621 - 2795 pixels,0,36.667,16.667,0,3.333,0,0,0,0,0,0,13.333,0,30,0
126_4_1_Green_Copy of P8140184.JPG,126,4,1,Green,Copy of P8140184.JPG,,Confirmed,X: 756 - 3050 pixels / Y: 300 - 2530 pixels,0,16.667,20,0,0,0,0,0,10,0,0,26.667,0,26.667,0
126_5_1_Green_Copy of P8140185.JPG,126,5,1,Green,Copy of P8140185.JPG,,Confirmed,X: 921 - 3140 pixels / Y: 451 - 2750 pixels,0,53.333,10,0,0,0,0,0,3.333,0,0,0,0,33.333,0
130_1_1_Yellow_Copy of P8150918.JPG,130,1,1,Yellow,Copy of P8150918.JPG,,Confirmed,X: 706 - 3240 pixels / Y: 300 - 2940 pixels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
130_1_2_Yellow_Copy of P8150919.JPG,130,1,2,Yellow,Copy of P8150919.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,96.667
